population,generations,p_add,p_flip,p_mut,cost_mean,cost_median,cost_min,cost_max,cost_count,latency_mean,latency_median,latency_min,latency_max,latency_count,energy_mean,energy_median,energy_min,energy_max,energy_count,qoa_mean,qoa_median,qoa_min,qoa_max,qoa_count,file_unique_solutions_mean,file_unique_solutions_median,file_unique_solutions_min,file_unique_solutions_max,file_unique_solutions_count,time_per_generation_s_mean,time_per_generation_s_median,time_per_generation_s_min,time_per_generation_s_max,time_per_generation_s_count,total_cost_mean,total_cost_median,total_cost_min,total_cost_max,total_cost_count,total_energy_mean,total_energy_median,total_energy_min,total_energy_max,total_energy_count,total_latency_mean,total_latency_median,total_latency_min,total_latency_max,total_latency_count,quality_of_answer_mean,quality_of_answer_median,quality_of_answer_min,quality_of_answer_max,quality_of_answer_count,TOPSIS_Score,Rank
100,200,0.3,0.3,0.3,0.0312530950334873,0.0225004822,0.0004800433999999,0.2523117249999999,6490,228.45114968358197,241.7221285578059,11.115,642.5909921599999,6490,222.36749338527304,253.43366220075143,8.442555066079297,658.1858439,6490,0.794483458668405,0.6378521422545115,0.3280731150321094,1.9763535111689383,6490,43.67180277349769,35.0,16,82,6490,21.66479619782952,24.07351055264473,13.974493366479871,29.13734428763389,6490,0.0650216563636363,0.064085,0.00415,0.3018392,6490,59.48631936306492,59.60069337750756,5.56136563876652,222.14369834710743,6490,64.16783160469508,57.94379746835443,7.470000000000001,313.18809523809523,6490,0.6585952273470985,0.6234875321388245,-0.1017477810382843,1.000000238418579,6490,0.5657867003878391,12
200,100,0.3,0.1,0.3,0.0303572944133253,0.0216499152,0.0004800433999999,0.1696027375777777,10430,232.10732454887216,280.869884893038,11.115,650.63523898,10430,231.31082323318444,289.66606215722953,8.199664096916301,601.2944004399999,10430,0.7822335563015642,0.6779091715237522,0.2681402462178368,1.8626025401243933,10430,74.89069990412273,69.0,35,150,10430,43.82590209890304,50.93561451911926,27.948986732959742,58.27468857526779,10430,0.0661242809587727,0.0630217,0.00415,0.322391,10430,61.164763993019065,61.1455146294464,5.56136563876652,225.17333566870195,10430,62.771199051169525,58.00736286919831,7.470000000000001,286.8809523809524,10430,0.6338564709635239,0.611438512802124,-0.1017477810382843,1.000000238418579,10430,0.5407972733326418,13
100,75,0.1,0.1,0.3,0.0275328369680121,0.0239552362333332,0.0004800433999999,0.1608099838444442,6500,217.84830956806664,280.942596655,11.115,576.81694093,6500,225.6827953851157,279.01120232890617,8.199664096916301,658.1858439,6500,0.7790537805481622,0.6781586273006712,0.1956451088190078,1.9704067221800967,6500,43.05230769230769,43.0,25,65,6500,57.459453201636286,67.91415269215902,37.26531564394633,77.69958476702372,6500,0.0693464562153846,0.0639175,0.00425,0.34223,6500,63.76547394974351,60.86593053666702,5.695374449339208,209.7749104683196,6500,60.308788863423054,54.01885462555066,7.740000000000001,262.6295154185022,6500,0.6797838773283964,0.6558732986450195,-0.1155503541231155,1.000000238418579,6500,0.5113800741578143,14
75,100,0.3,0.3,0.3,0.0279079865512405,0.0129885,0.0004800433999999,0.1900753945999998,5150,252.2877055625246,281.37800265000004,11.115,650.63523898,5150,260.0025590299281,297.3428772054332,8.199664096916301,658.1858439,5150,0.8066875710252662,0.6912868113036217,0.3529245891679178,1.9763535111689383,5150,40.19417475728155,30.0,22,70,5150,42.95538056209249,50.93561451911926,27.948986732959742,58.27468857526779,5150,0.0668209900194174,0.062815,0.00425,0.3018392,5150,62.59206769078656,61.80443296531979,5.695374449339208,223.0844497032803,5150,64.25885824169737,58.23,7.740000000000001,320.0988231592196,5150,0.6650576022811668,0.6468070447444916,-0.090403139591217,1.000000238418579,5150,0.5074721951512928,15
200,75,0.1,0.1,0.3,0.0291025550003666,0.0205694999999999,0.0004800433999999,0.1872760361999998,13850,236.81372513129847,279.63590585422696,11.115,642.5909921599999,13850,234.64917562774133,284.9673626236124,8.199664096916301,685.1964779399999,13850,0.8316296484154968,0.6851368910751409,0.1700832817663316,1.9389146645409083,13850,59.55234657039711,61.0,36,88,13850,57.421777350957065,67.91415269215902,37.26531564394633,77.69958476702372,13850,0.0676561479277978,0.0627807,0.00415,0.3018392,13850,62.27202757788448,58.65802721493641,5.56136563876652,224.2315082644628,13850,64.26872628158327,57.07665198237886,7.470000000000001,315.43809523809523,13850,0.6751364286261399,0.6552579402923584,-0.1017477810382843,1.000000238418579,13850,0.5036245439034521,16
100,200,0.3,0.1,0.3,0.0318854057580455,0.021557949,0.0005002192,0.1952942136222222,6400,234.088346576034,249.96483594652824,11.115,632.20221306,6400,238.7793289648606,260.3074024646932,8.442555066079297,838.30087462,6400,0.790911530704207,0.6497697661426597,0.293476933311553,1.814970614274795,6400,43.3078125,38.0,33,54,6400,21.856307556189595,25.46780725955963,10.648947241306304,29.13734428763389,6400,0.06663299128125,0.0618072,0.00498,0.3104704,6400,63.18720332330184,61.91679861172878,6.931528925619835,231.8325970862004,6400,65.12575667644265,58.3976582278481,7.470000000000001,320.0988231592196,6400,0.6645632630637556,0.6528589129447937,-0.1156689301133155,1.000000238418579,6400,0.4926032475924238,17
100,75,0.1,0.3,0.3,0.0296279073026034,0.0172393311777777,0.0004800433999999,0.1919032401999998,6560,251.05944157648727,268.5069249065495,11.133,650.63523898,6560,245.21492503830845,275.3532958199354,8.442555066079297,609.3538148499999,6560,0.796705174871144,0.6776087848090175,0.2681402462178368,1.9763535111689383,6560,50.82164634146341,43.0,23,86,6560,56.96771259234204,67.91415269215902,28.39719264348348,77.69958476702372,6560,0.0669495461280487,0.06027,0.00575,0.3018392,6560,62.27327031643583,57.93917773825714,7.705506607929516,223.0844497032803,6560,66.62219424395332,57.848986784140976,10.35,320.0988231592196,6560,0.6531516133926855,0.6234875321388245,-0.1244519501924514,1.000000238418579,6560,0.47915941718103167,18
200,200,0.3,0.3,0.1,0.0299623593423096,0.0232595068,0.0004800433999999,0.1636023945999999,12670,242.86140361606417,287.09120175000004,11.115,629.50386391,12670,246.00316010764115,303.9354834982148,8.199664096916301,658.1858439,12670,0.7874756253959801,0.6459799647331238,0.1700832817663316,2.470565483166645,12670,51.8689818468824,46.0,38,70,12670,22.304490401874684,25.46780725955963,13.974493366479871,29.13734428763389,12670,0.0687124428571428,0.0616435,0.00425,0.315455,12670,63.65892322467502,60.26532394819315,5.695374449339208,209.2196143546402,12670,63.9025788527431,54.80620253164557,7.470000000000001,293.61521308149645,12670,0.6548462988485324,0.6248643398284912,-0.1017477810382843,1.000000238418579,12670,0.4725035252677402,19
200,75,0.3,0.3,0.1,0.030762439503818,0.0232777481142857,0.0004800433999999,0.2261484637999997,13000,243.84826164776595,252.90528311494705,11.115,657.47242094,13000,237.15228195133705,274.9758475263436,8.442555066079297,737.35361926,13000,0.8441249460146882,0.7480507771890561,0.3551792055368423,1.9763535111689383,13000,62.9,57.0,19,115,13000,57.31476001256552,67.91415269215902,28.39719264348348,77.69958476702372,13000,0.069598870276923,0.063875,0.00415,0.3018392,13000,64.0473636043665,62.80438330369286,5.56136563876652,222.14369834710743,13000,67.5033271015475,59.57722466960353,7.740000000000001,313.18809523809523,13000,0.6823810918478367,0.6837664842605591,-0.104050688445568,1.000000238418579,13000,0.4238826396309909,20
100,200,0.1,0.3,0.3,0.03038403386057,0.0252102117999999,0.0004800433999999,0.1817408593999998,6910,248.17735871515143,294.206966241887,11.115,598.9570925405719,6910,257.3479412612538,300.0300469689427,8.442555066079297,657.53380434,6910,0.8013809270199708,0.6891554689811935,0.2401944541402655,1.9161906251391485,6910,49.87698986975398,51.0,29,63,6910,21.570077631442487,25.46780725955963,13.974493366479871,29.13734428763389,6910,0.07082423617945,0.0650606,0.00415,0.315455,6910,65.86675910293584,63.33335972787599,5.56136563876652,222.9181493880113,6910,64.17812698096307,58.51389753659787,7.470000000000001,294.0276793248945,6910,0.6674692465390002,0.6479809284210205,-0.0663528442382812,1.000000238418579,6910,0.4215020843576249,21
